A,B,C,D,E,F,G,Target
3.882026172983832,3.882026172983832,3.882026172983832,3.882026172983832,3.882026172983832,3.882026172983832,3.882026172983832,2.5596267970979794
3.2000786041836116,3.2000786041836116,3.2000786041836116,3.2000786041836116,3.2000786041836116,3.2000786041836116,3.2000786041836116,5.924738873315302
3.4893689920528694,3.4893689920528694,3.4893689920528694,3.4893689920528694,3.4893689920528694,3.4893689920528694,3.4893689920528694,-7.223148241252707
4.120446599600729,4.120446599600729,4.120446599600729,4.120446599600729,4.120446599600729,4.120446599600729,4.120446599600729,-1.9528597056671568
3.9337789950749835,3.9337789950749835,3.9337789950749835,3.9337789950749835,3.9337789950749835,3.9337789950749835,3.9337789950749835,-0.719466748759328
2.5113610600617946,2.5113610600617946,2.5113610600617946,2.5113610600617946,2.5113610600617946,2.5113610600617946,2.5113610600617946,-0.9852005329556714
3.4750442087627946,3.4750442087627946,3.4750442087627946,3.4750442087627946,3.4750442087627946,3.4750442087627946,3.4750442087627946,2.407735853003902
2.924321395851151,2.924321395851151,2.924321395851151,2.924321395851151,2.924321395851151,2.924321395851151,2.924321395851151,-21.180776303835696
2.9483905741032213,2.9483905741032213,2.9483905741032213,2.9483905741032213,2.9483905741032213,2.9483905741032213,2.9483905741032213,-3.493240701475726
3.205299250969186,3.205299250969186,3.205299250969186,3.205299250969186,3.205299250969186,3.205299250969186,3.205299250969186,-0.6096639875323508
3.072021785580439,3.072021785580439,3.072021785580439,3.072021785580439,3.072021785580439,3.072021785580439,3.072021785580439,-13.003303489537053
3.7271367534814877,3.7271367534814877,3.7271367534814877,3.7271367534814877,3.7271367534814877,3.7271367534814877,3.7271367534814877,13.7398570701071
3.3805188625734965,3.3805188625734965,3.3805188625734965,3.3805188625734965,3.3805188625734965,3.3805188625734965,3.3805188625734965,-1.3844073276183204
3.060837508246414,3.060837508246414,3.060837508246414,3.060837508246414,3.060837508246414,3.060837508246414,3.060837508246414,12.634047450289295
3.221931616372713,3.221931616372713,3.221931616372713,3.221931616372713,3.221931616372713,3.221931616372713,3.221931616372713,-10.905230218330772
3.1668371636871333,3.1668371636871333,3.1668371636871333,3.1668371636871333,3.1668371636871333,3.1668371636871333,3.1668371636871333,-12.07300121525327
3.747039536578803,3.747039536578803,3.747039536578803,3.747039536578803,3.747039536578803,3.747039536578803,3.747039536578803,-0.7574777903431809
2.8974208681170994,2.8974208681170994,2.8974208681170994,2.8974208681170994,2.8974208681170994,2.8974208681170994,2.8974208681170994,-19.786883628286567
3.1565338508254506,3.1565338508254506,3.1565338508254506,3.1565338508254506,3.1565338508254506,3.1565338508254506,3.1565338508254506,-0.8503440937390647
2.5729521303491376,2.5729521303491376,2.5729521303491376,2.5729521303491376,2.5729521303491376,2.5729521303491376,2.5729521303491376,-2.02780767997082
1.7235050920829607,1.7235050920829607,1.7235050920829607,1.7235050920829607,1.7235050920829607,1.7235050920829607,1.7235050920829607,7.156652815421012
3.3268092977201804,3.3268092977201804,3.3268092977201804,3.3268092977201804,3.3268092977201804,3.3268092977201804,3.3268092977201804,4.010413411650971
3.432218099429753,3.432218099429753,3.432218099429753,3.432218099429753,3.432218099429753,3.432218099429753,3.432218099429753,-7.17477349885034
2.628917489796779,2.628917489796779,2.628917489796779,2.628917489796779,2.628917489796779,2.628917489796779,2.628917489796779,-13.974966547702447
4.134877311993804,4.134877311993804,4.134877311993804,4.134877311993804,4.134877311993804,4.134877311993804,4.134877311993804,14.123052213432967
2.2728171627006177,2.2728171627006177,2.2728171627006177,2.2728171627006177,2.2728171627006177,2.2728171627006177,2.2728171627006177,-10.9211502056515
3.022879258650723,3.022879258650723,3.022879258650723,3.022879258650723,3.022879258650723,3.022879258650723,3.022879258650723,-13.455245570694657
2.906408074987083,2.906408074987083,2.906408074987083,2.906408074987083,2.906408074987083,2.906408074987083,2.906408074987083,-13.848560594614451
3.766389607179229,3.766389607179229,3.766389607179229,3.766389607179229,3.766389607179229,3.766389607179229,3.766389607179229,8.173053155366645
3.7346793849501427,3.7346793849501427,3.7346793849501427,3.7346793849501427,3.7346793849501427,3.7346793849501427,3.7346793849501427,-8.189002044248522
3.077473712848458,3.077473712848458,3.077473712848458,3.077473712848458,3.077473712848458,3.077473712848458,3.077473712848458,-10.537044661806007
3.1890812598010867,3.1890812598010867,3.1890812598010867,3.1890812598010867,3.1890812598010867,3.1890812598010867,3.1890812598010867,-1.6231017409665267
2.5561071261849437,2.5561071261849437,2.5561071261849437,2.5561071261849437,2.5561071261849437,2.5561071261849437,2.5561071261849437,-5.069447105572911
2.0096017658880365,2.0096017658880365,2.0096017658880365,2.0096017658880365,2.0096017658880365,2.0096017658880365,2.0096017658880365,-9.78095460786247
2.826043925336924,2.826043925336924,2.826043925336924,2.826043925336924,2.826043925336924,2.826043925336924,2.826043925336924,4.539914669784796
3.07817448455199,3.07817448455199,3.07817448455199,3.07817448455199,3.07817448455199,3.07817448455199,3.07817448455199,7.653154920979947
3.6151453403638603,3.6151453403638603,3.6151453403638603,3.6151453403638603,3.6151453403638603,3.6151453403638603,3.6151453403638603,6.853175089398668
3.6011899243922056,3.6011899243922056,3.6011899243922056,3.6011899243922056,3.6011899243922056,3.6011899243922056,3.6011899243922056,4.66919669661199
2.8063365912960236,2.8063365912960236,2.8063365912960236,2.8063365912960236,2.8063365912960236,2.8063365912960236,2.8063365912960236,1.0262553113003516
2.8488486247123324,2.8488486247123324,2.8488486247123324,2.8488486247123324,2.8488486247123324,2.8488486247123324,2.8488486247123324,-20.758879999618287
2.4757235174664536,2.4757235174664536,2.4757235174664536,2.4757235174664536,2.4757235174664536,2.4757235174664536,2.4757235174664536,13.692508063769687
2.2899910314105125,2.2899910314105125,2.2899910314105125,2.2899910314105125,2.2899910314105125,2.2899910314105125,2.2899910314105125,0.019892103575529507
2.1468649046874937,2.1468649046874937,2.1468649046874937,2.1468649046874937,2.1468649046874937,2.1468649046874937,2.1468649046874937,3.0815642760064144
3.975387697615895,3.975387697615895,3.975387697615895,3.975387697615895,3.975387697615895,3.975387697615895,3.975387697615895,8.149623229474022
2.745173909124173,2.745173909124173,2.745173909124173,2.745173909124173,2.745173909124173,2.745173909124173,2.745173909124173,11.333525028819917
2.780962849194407,2.780962849194407,2.780962849194407,2.780962849194407,2.780962849194407,2.780962849194407,2.780962849194407,1.1839801130919252
2.3736023199750367,2.3736023199750367,2.3736023199750367,2.3736023199750367,2.3736023199750367,2.3736023199750367,2.3736023199750367,1.3554615929565363
3.388745177915955,3.388745177915955,3.388745177915955,3.388745177915955,3.388745177915955,3.388745177915955,3.388745177915955,-8.992242774597194
2.1930510762210242,2.1930510762210242,2.1930510762210242,2.1930510762210242,2.1930510762210242,2.1930510762210242,2.1930510762210242,-2.669102488612398
2.8936298598930157,2.8936298598930157,2.8936298598930157,2.8936298598930157,2.8936298598930157,2.8936298598930157,2.8936298598930157,-11.541612608143545
2.5522667194031623,2.5522667194031623,2.5522667194031623,2.5522667194031623,2.5522667194031623,2.5522667194031623,2.5522667194031623,-10.199405321418947
3.193451248929631,3.193451248929631,3.193451248929631,3.193451248929631,3.193451248929631,3.193451248929631,3.193451248929631,-11.935744023141913
2.7445974312155634,2.7445974312155634,2.7445974312155634,2.7445974312155634,2.7445974312155634,2.7445974312155634,2.7445974312155634,-4.560238909972874
2.4096839079387937,2.4096839079387937,2.4096839079387937,2.4096839079387937,2.4096839079387937,2.4096839079387937,2.4096839079387937,7.490931879200103
2.9859088858306726,2.9859088858306726,2.9859088858306726,2.9859088858306726,2.9859088858306726,2.9859088858306726,2.9859088858306726,28.709747732901796
3.2141659352652088,3.2141659352652088,3.2141659352652088,3.2141659352652088,3.2141659352652088,3.2141659352652088,3.2141659352652088,-1.1050036245208654
3.033258611191584,3.033258611191584,3.033258611191584,3.033258611191584,3.033258611191584,3.033258611191584,3.033258611191584,-16.4841308775612
3.151235948869891,3.151235948869891,3.151235948869891,3.151235948869891,3.151235948869891,3.151235948869891,3.151235948869891,9.64983329856256
2.6828389531595183,2.6828389531595183,2.6828389531595183,2.6828389531595183,2.6828389531595183,2.6828389531595183,2.6828389531595183,-6.007838764760271
2.8186294170064308,2.8186294170064308,2.8186294170064308,2.8186294170064308,2.8186294170064308,2.8186294170064308,2.8186294170064308,-9.606085939769919
2.6637697761120247,2.6637697761120247,2.6637697761120247,2.6637697761120247,2.6637697761120247,2.6637697761120247,2.6637697761120247,-0.901505220769447
2.8202234192297295,2.8202234192297295,2.8202234192297295,2.8202234192297295,2.8202234192297295,2.8202234192297295,2.8202234192297295,-15.406245995562275
2.593426858977773,2.593426858977773,2.593426858977773,2.593426858977773,2.593426858977773,2.593426858977773,2.593426858977773,-0.7753683599139323
2.1368586988341614,2.1368586988341614,2.1368586988341614,2.1368586988341614,2.1368586988341614,2.1368586988341614,2.1368586988341614,-3.88375523199155
3.088713071126876,3.088713071126876,3.088713071126876,3.088713071126876,3.088713071126876,3.088713071126876,3.088713071126876,-2.0162209318452433
2.799109531895869,2.799109531895869,2.799109531895869,2.799109531895869,2.799109531895869,2.799109531895869,2.799109531895869,0.8141625420917085
2.184900826516978,2.184900826516978,2.184900826516978,2.184900826516978,2.184900826516978,2.184900826516978,2.184900826516978,-2.325077427591932
3.2313911277628873,3.2313911277628873,3.2313911277628873,3.2313911277628873,3.2313911277628873,3.2313911277628873,3.2313911277628873,-2.836619158871075
2.5463508178083787,2.5463508178083787,2.5463508178083787,2.5463508178083787,2.5463508178083787,2.5463508178083787,2.5463508178083787,-0.15685481002055468
3.0259726978980694,3.0259726978980694,3.0259726978980694,3.0259726978980694,3.0259726978980694,3.0259726978980694,3.0259726978980694,1.1540062617112685
3.3645452810887684,3.3645452810887684,3.3645452810887684,3.3645452810887684,3.3645452810887684,3.3645452810887684,3.3645452810887684,-13.314824603152577
3.0644914553787053,3.0644914553787053,3.0644914553787053,3.0644914553787053,3.0644914553787053,3.0644914553787053,3.0644914553787053,-17.299912586854482
3.5697003422716502,3.5697003422716502,3.5697003422716502,3.5697003422716502,3.5697003422716502,3.5697003422716502,3.5697003422716502,-3.6163805217221476
2.382587089823174,2.382587089823174,2.382587089823174,2.382587089823174,2.382587089823174,2.382587089823174,2.382587089823174,-17.32735489934108
3.2011708205887746,3.2011708205887746,3.2011708205887746,3.2011708205887746,3.2011708205887746,3.2011708205887746,3.2011708205887746,-2.124685290783291
2.657594954529843,2.657594954529843,2.657594954529843,2.657594954529843,2.657594954529843,2.657594954529843,2.657594954529843,6.3874687568231
